                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.8926,                 2.6994,                 1.8599,                0.79342,                0.57339,                0.76782,                0.50008,                 1.3137,                 1.9108,                 1.5144,             0.00020006,             0.00020006,             0.00020006
                      2,                 1.4467,                  1.457,                 1.5635,                0.78227,                      1,                0.97595,                 0.6157,                 1.2827,                 1.4115,                 1.3399,             0.00041099,             0.00041099,             0.00041099
                      3,                 1.4512,                 1.2276,                 1.4753,                 0.9538,                0.90788,                0.98389,                0.51248,                 1.6258,                 1.5508,                 1.7383,             0.00061839,             0.00061839,             0.00061839
                      4,                 1.4385,                 1.1863,                 1.4841,                0.79716,                0.88271,                0.93872,                0.48102,                 1.7202,                 1.7063,                  1.714,             0.00082224,             0.00082224,             0.00082224
                      5,                 1.4274,                 1.1788,                 1.4855,                0.63977,                0.83333,                0.80401,                0.43062,                 1.9482,                 5.8508,                 1.9712,              0.0010226,              0.0010226,              0.0010226
                      6,                 1.4391,                 1.1518,                 1.4981,                0.43159,                    0.6,                0.50729,                 0.1689,                 2.3417,                 7.2328,                 2.8153,              0.0012193,              0.0012193,              0.0012193
                      7,                  1.394,                 1.0581,                 1.5124,                0.53425,                0.78571,                0.52962,                0.27619,                 1.7241,                 8.4424,                 2.0336,              0.0013583,              0.0013583,              0.0013583
                      8,                 1.4691,                 1.1206,                  1.558,                0.79574,                0.86937,                   0.95,                0.54106,                 1.4722,                 2.0218,                 1.6814,              0.0013465,              0.0013465,              0.0013465
                      9,                 1.3646,                  1.045,                 1.5124,                0.79047,                0.86667,                0.91013,                0.51901,                 1.4747,                 1.8077,                 1.6809,              0.0013347,              0.0013347,              0.0013347
                     10,                 1.3392,                0.95441,                 1.4606,                 0.7474,                      1,                0.90056,                0.52568,                  1.434,                  1.261,                 1.5899,              0.0013229,              0.0013229,              0.0013229
                     11,                  1.343,                0.94336,                 1.4449,                0.84187,                0.94462,                0.92286,                0.50595,                 1.5281,                0.95451,                 1.7203,              0.0013111,              0.0013111,              0.0013111
                     12,                 1.3636,                0.96574,                 1.4647,                0.70445,                0.66667,                0.76898,                0.46401,                 1.5448,                 1.4178,                 1.7313,              0.0012993,              0.0012993,              0.0012993
                     13,                 1.2833,                0.91332,                 1.4242,                0.77144,                0.76667,                 0.9074,                0.58441,                 1.2491,                 1.1049,                 1.4993,              0.0012875,              0.0012875,              0.0012875
                     14,                 1.2941,                0.86008,                 1.4091,                 0.9672,                0.90755,                0.97682,                0.63142,                 1.3836,                0.86428,                  1.474,              0.0012757,              0.0012757,              0.0012757
                     15,                 1.3027,                0.88374,                 1.4355,                0.96582,                0.91766,                0.96018,                0.65185,                 1.2727,                0.73833,                 1.4246,               0.001264,               0.001264,               0.001264
                     16,                  1.324,                 0.9129,                 1.4676,                0.87479,                0.91905,                0.96247,                  0.661,                 1.2489,                0.82644,                 1.3898,              0.0012522,              0.0012522,              0.0012522
                     17,                 1.2654,                0.89457,                 1.4191,                0.92861,                0.86468,                0.97583,                0.67468,                  1.178,                0.77979,                 1.3499,              0.0012404,              0.0012404,              0.0012404
                     18,                 1.2415,                0.82065,                  1.408,                0.96462,                      1,                  0.995,                 0.7172,                  1.157,                0.60125,                 1.2893,              0.0012286,              0.0012286,              0.0012286
                     19,                 1.3042,                 0.8549,                 1.4329,                0.97066,                      1,                  0.995,                0.66168,                 1.2898,                0.68157,                  1.382,              0.0012168,              0.0012168,              0.0012168
                     20,                 1.2674,                0.84509,                 1.4242,                0.96516,                      1,                  0.995,                0.64292,                 1.3368,                0.69731,                 1.4615,               0.001205,               0.001205,               0.001205
                     21,                 1.2212,                0.84166,                 1.3765,                0.96877,                      1,                  0.995,                0.61631,                 1.4503,                0.70803,                 1.4837,              0.0011932,              0.0011932,              0.0011932
                     22,                 1.2078,                 0.8391,                 1.3588,                0.97822,                      1,                  0.995,                0.53069,                  1.717,                0.75285,                 1.7158,              0.0011814,              0.0011814,              0.0011814
                     23,                 1.2688,                0.85364,                 1.4171,                0.98568,                      1,                  0.995,                0.65692,                 1.2565,                0.59721,                 1.3867,              0.0011696,              0.0011696,              0.0011696
                     24,                 1.1973,                0.80918,                 1.3536,                0.98195,                0.99538,                  0.995,                 0.6647,                 1.2732,                0.59798,                 1.4055,              0.0011578,              0.0011578,              0.0011578
                     25,                 1.1834,                0.74546,                 1.3336,                0.97283,                0.99872,                  0.995,                0.66705,                 1.2995,                  0.634,                 1.4292,              0.0011461,              0.0011461,              0.0011461
                     26,                 1.1407,                0.76292,                 1.3583,                0.94708,                      1,                  0.995,                0.65125,                 1.3552,                0.64188,                  1.431,              0.0011343,              0.0011343,              0.0011343
                     27,                 1.1327,                0.76667,                 1.3216,                0.92032,                0.96667,                0.98125,                0.66619,                  1.082,                0.61446,                 1.3668,              0.0011225,              0.0011225,              0.0011225
                     28,                 1.1947,                0.76318,                 1.3482,                0.98524,                0.99471,                  0.995,                0.68602,                 1.2673,                0.68756,                 1.4256,              0.0011107,              0.0011107,              0.0011107
                     29,                 1.1546,                 0.7231,                 1.3199,                0.98289,                      1,                  0.995,                0.71642,                 1.1977,                0.71997,                 1.3746,              0.0010989,              0.0010989,              0.0010989
                     30,                 1.1614,                0.76501,                 1.3241,                0.92334,                      1,                0.97944,                0.63102,                 1.2039,                0.66082,                 1.4177,              0.0010871,              0.0010871,              0.0010871
                     31,                 1.1655,                0.74375,                 1.3648,                0.96774,                 0.9603,                0.97833,                0.62943,                  1.286,                0.63337,                 1.4406,              0.0010753,              0.0010753,              0.0010753
                     32,                 1.2415,                0.76166,                 1.3673,                0.97217,                0.98742,                  0.995,                0.65391,                 1.2059,                0.60561,                 1.3558,              0.0010635,              0.0010635,              0.0010635
                     33,                 1.1646,                0.76268,                  1.337,                0.98117,                      1,                  0.995,                 0.7217,                 1.0044,                0.54138,                   1.22,              0.0010517,              0.0010517,              0.0010517
                     34,                 1.1726,                0.70915,                 1.3235,                0.98602,                0.97527,                  0.995,                 0.6296,                 1.2915,                0.55111,                 1.3904,                0.00104,                0.00104,                0.00104
                     35,                 1.0884,                0.69327,                 1.2537,                0.97039,                0.99209,                  0.995,                 0.7185,                 1.0703,                0.53809,                 1.2648,              0.0010282,              0.0010282,              0.0010282
                     36,                 1.0838,                0.68002,                  1.283,                0.95741,                0.99051,                  0.995,                0.65042,                 1.3086,                0.55254,                 1.4144,              0.0010164,              0.0010164,              0.0010164
                     37,                 1.0549,                0.65397,                 1.2323,                0.97203,                      1,                  0.995,                0.68992,                  1.228,                0.52098,                 1.3227,              0.0010046,              0.0010046,              0.0010046
                     38,                 1.0123,                0.70315,                 1.2677,                0.98341,                      1,                  0.995,                0.62086,                 1.3866,                0.54158,                 1.4723,              0.0009928,              0.0009928,              0.0009928
