                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     39,                 1.0571,                0.66907,                 1.2739,                0.99066,                      1,                  0.995,                0.69573,                 1.1249,                 0.4923,                 1.2667,             0.00098101,             0.00098101,             0.00098101
                     40,                 1.0594,                0.64197,                 1.2571,                0.97999,                      1,                  0.995,                 0.6914,                  1.133,                0.48588,                 1.2986,             0.00096922,             0.00096922,             0.00096922
                     41,                0.97046,                0.61452,                 1.2224,                0.98351,                      1,                  0.995,                0.65764,                 1.1895,                0.52463,                 1.3849,             0.00095743,             0.00095743,             0.00095743
                     42,                 1.0281,                 0.6618,                   1.24,                0.98859,                      1,                  0.995,                0.70944,                  1.126,                0.49588,                 1.3137,             0.00094564,             0.00094564,             0.00094564
                     43,                 1.0864,                0.64159,                 1.2528,                0.94932,                      1,                0.99197,                0.70243,                 1.1217,                0.50506,                 1.3214,             0.00093385,             0.00093385,             0.00093385
                     44,                0.99097,                0.63124,                 1.2488,                0.98069,                      1,                  0.995,                0.69823,                 1.1599,                0.49666,                  1.335,             0.00092206,             0.00092206,             0.00092206
                     45,                0.98058,                0.59061,                 1.2057,                0.98289,                      1,                  0.995,                0.71383,                 1.1278,                0.49575,                 1.2836,             0.00091027,             0.00091027,             0.00091027
                     46,                 1.0572,                0.65689,                 1.2623,                0.97522,                      1,                  0.995,                0.70349,                 1.1575,                 0.4683,                 1.3415,             0.00089848,             0.00089848,             0.00089848
                     47,                 1.0046,                0.59895,                 1.2335,                0.98659,                0.99307,                  0.995,                0.67944,                 1.2431,                0.53663,                 1.3906,             0.00088669,             0.00088669,             0.00088669
                     48,                 1.0166,                 0.6503,                 1.2543,                0.97687,                0.98694,                  0.995,                0.69962,                 1.1376,                0.49424,                 1.3229,             0.00087491,             0.00087491,             0.00087491
                     49,                0.99548,                0.63045,                 1.2117,                0.97651,                      1,                  0.995,                0.73561,                 1.0834,                0.45805,                   1.26,             0.00086312,             0.00086312,             0.00086312
                     50,                  1.028,                0.60744,                 1.2362,                 0.9623,                      1,                  0.995,                0.67436,                 1.2306,                0.50459,                 1.4044,             0.00085133,             0.00085133,             0.00085133
                     51,                  0.968,                0.59802,                  1.206,                0.93506,                      1,                  0.995,                0.71184,                 1.1456,                 0.5521,                 1.3221,             0.00083954,             0.00083954,             0.00083954
                     52,                0.97371,                0.61816,                 1.2395,                0.98392,                      1,                  0.995,                0.69708,                 1.1693,                0.47071,                 1.3451,             0.00082775,             0.00082775,             0.00082775
                     53,                 1.0331,                0.60496,                 1.2399,                 0.9786,                      1,                  0.995,                0.62927,                 1.4478,                0.56222,                 1.5853,             0.00081596,             0.00081596,             0.00081596
                     54,                0.97524,                0.61853,                 1.2075,                0.97589,                      1,                  0.995,                0.68771,                 1.1998,                0.50056,                 1.4147,             0.00080417,             0.00080417,             0.00080417
                     55,                0.96871,                0.59714,                 1.2069,                0.97579,                      1,                  0.995,                0.66164,                 1.1835,                0.48364,                  1.407,             0.00079238,             0.00079238,             0.00079238
                     56,                0.96506,                0.55825,                 1.2013,                0.98649,                      1,                  0.995,                0.68286,                   1.18,                0.47268,                 1.3847,             0.00078059,             0.00078059,             0.00078059
                     57,                 0.9385,                0.59167,                 1.2004,                0.98662,                      1,                  0.995,                0.66084,                 1.1658,                0.47913,                 1.3837,              0.0007688,              0.0007688,              0.0007688
                     58,                0.91512,                0.59458,                 1.1671,                0.98432,                      1,                  0.995,                0.70492,                 1.0301,                0.43566,                 1.2453,             0.00075701,             0.00075701,             0.00075701
                     59,                 1.0073,                0.59884,                 1.2436,                0.98332,                      1,                  0.995,                0.70097,                 1.1667,                0.47468,                 1.2936,             0.00074522,             0.00074522,             0.00074522
                     60,                0.99458,                0.60278,                 1.2219,                 0.9844,                      1,                  0.995,                0.68141,                  1.154,                 0.4909,                  1.318,             0.00073343,             0.00073343,             0.00073343
                     61,                0.89307,                0.55702,                 1.1614,                0.98719,                      1,                  0.995,                0.67156,                 1.1706,                0.46254,                 1.3439,             0.00072164,             0.00072164,             0.00072164
                     62,                0.94355,                0.55673,                 1.1903,                0.99226,                      1,                  0.995,                0.70669,                 1.2091,                0.45769,                 1.3378,             0.00070986,             0.00070986,             0.00070986
                     63,                0.87864,                0.54562,                 1.1466,                0.98926,                      1,                  0.995,                0.68258,                 1.1814,                0.45611,                 1.4226,             0.00069807,             0.00069807,             0.00069807
                     64,                0.92892,                0.55227,                 1.1664,                0.98983,                      1,                  0.995,                0.73861,                 1.0402,                0.43077,                 1.2714,             0.00068628,             0.00068628,             0.00068628
                     65,                 0.8837,                0.53561,                 1.1656,                0.99029,                      1,                  0.995,                0.75379,                 1.0446,                0.41165,                 1.2401,             0.00067449,             0.00067449,             0.00067449
                     66,                 0.9265,                0.57705,                 1.1706,                0.99152,                      1,                  0.995,                 0.7108,                 1.1408,                0.44522,                  1.308,              0.0006627,              0.0006627,              0.0006627
                     67,                0.85762,                0.52702,                 1.1386,                0.98517,                      1,                  0.995,                0.71054,                   1.15,                0.45046,                 1.3405,             0.00065091,             0.00065091,             0.00065091
                     68,                0.88041,                0.54585,                 1.1675,                0.98655,                      1,                  0.995,                0.71312,                 1.1649,                0.44948,                 1.3253,             0.00063912,             0.00063912,             0.00063912
                     69,                0.82831,                0.52444,                 1.1179,                0.98623,                      1,                  0.995,                0.71892,                 1.1436,                0.43513,                 1.3142,             0.00062733,             0.00062733,             0.00062733
                     70,                0.85137,                0.52845,                  1.134,                0.98699,                      1,                  0.995,                0.70841,                 1.1427,                0.45108,                 1.3582,             0.00061554,             0.00061554,             0.00061554
                     71,                0.85467,                0.51706,                 1.1597,                0.98538,                      1,                  0.995,                0.72277,                 1.0995,                0.44148,                 1.2994,             0.00060375,             0.00060375,             0.00060375
                     72,                0.82433,                0.50001,                 1.0875,                0.98823,                      1,                  0.995,                 0.6982,                 1.1592,                0.45199,                 1.3182,             0.00059196,             0.00059196,             0.00059196
                     73,                0.83481,                0.51871,                 1.1214,                0.98797,                      1,                  0.995,                 0.7075,                 1.2038,                0.48399,                 1.3718,             0.00058017,             0.00058017,             0.00058017
                     74,                0.81342,                 0.4973,                 1.1247,                0.98474,                      1,                  0.995,                0.75043,                 1.0758,                0.46529,                 1.2436,             0.00056838,             0.00056838,             0.00056838
                     75,                0.83616,                0.50385,                 1.1244,                0.98676,                      1,                  0.995,                0.71892,                  1.072,                0.44751,                 1.2319,              0.0005566,              0.0005566,              0.0005566
                     76,                0.82816,                0.49987,                 1.1249,                0.98737,                      1,                  0.995,                0.73011,                 1.1178,                0.43652,                 1.2686,             0.00054481,             0.00054481,             0.00054481
                     77,                0.83744,                0.52219,                  1.126,                0.98467,                      1,                  0.995,                0.73764,                 1.0759,                 0.4346,                 1.2494,             0.00053302,             0.00053302,             0.00053302
                     78,                0.83534,                0.50829,                 1.1251,                0.98517,                      1,                  0.995,                0.73736,                 1.1138,                0.41441,                 1.2858,             0.00052123,             0.00052123,             0.00052123
                     79,                0.83421,                0.49869,                 1.1486,                0.98486,                      1,                  0.995,                0.73905,                 1.0918,                0.42351,                 1.2525,             0.00050944,             0.00050944,             0.00050944
                     80,                0.78409,                0.47738,                 1.1033,                0.98732,                      1,                  0.995,                0.74785,                 1.0459,                 0.4166,                 1.2579,             0.00049765,             0.00049765,             0.00049765
                     81,                0.77903,                 0.4745,                 1.0946,                0.98978,                      1,                  0.995,                0.74681,                 1.0554,                0.41558,                 1.2509,             0.00048586,             0.00048586,             0.00048586
                     82,                 0.8088,                0.48843,                 1.1155,                0.98686,                      1,                  0.995,                0.79262,                0.99858,                0.39847,                 1.2007,             0.00047407,             0.00047407,             0.00047407
                     83,                0.80434,                0.47826,                 1.1028,                0.98892,                      1,                  0.995,                0.74421,                 1.0514,                0.42225,                 1.2341,             0.00046228,             0.00046228,             0.00046228
                     84,                0.78763,                0.48967,                 1.0922,                0.98896,                      1,                  0.995,                0.73189,                 1.1007,                0.44427,                 1.2513,             0.00045049,             0.00045049,             0.00045049
                     85,                0.78777,                 0.4836,                 1.0939,                0.98919,                      1,                  0.995,                0.71312,                 1.1591,                0.44803,                 1.3417,              0.0004387,              0.0004387,              0.0004387
                     86,                0.78927,                0.46352,                 1.1101,                 0.9889,                      1,                  0.995,                0.74015,                 1.0651,                0.44592,                 1.2683,             0.00042691,             0.00042691,             0.00042691
                     87,                0.78855,                0.47259,                 1.1336,                0.98562,                      1,                  0.995,                0.73673,                 1.0856,                0.44655,                 1.2931,             0.00041512,             0.00041512,             0.00041512
                     88,                0.77957,                0.46641,                 1.1101,                0.98625,                      1,                  0.995,                0.75271,                 1.0562,                0.41467,                 1.2455,             0.00040334,             0.00040334,             0.00040334
                     89,                0.73478,                 0.4433,                 1.0839,                0.98778,                      1,                  0.995,                0.76133,                0.99796,                0.40713,                 1.1922,             0.00039155,             0.00039155,             0.00039155
                     90,                0.75979,                0.46349,                 1.1002,                0.98642,                      1,                  0.995,                0.74253,                 1.0463,                0.43397,                 1.2278,             0.00037976,             0.00037976,             0.00037976
                     91,                0.73908,                0.45509,                 1.0892,                0.98639,                      1,                  0.995,                0.73785,                 1.0834,                0.42086,                 1.2448,             0.00036797,             0.00036797,             0.00036797
                     92,                0.74965,                0.47282,                 1.0794,                0.98439,                      1,                  0.995,                0.73699,                 1.0704,                0.40776,                 1.2457,             0.00035618,             0.00035618,             0.00035618
                     93,                0.71411,                0.45255,                 1.0454,                0.97925,                      1,                  0.995,                0.71426,                 1.1186,                 0.4121,                 1.2867,             0.00034439,             0.00034439,             0.00034439
                     94,                0.71074,                0.45733,                 1.0704,                0.98479,                      1,                  0.995,                0.74579,                 1.0582,                0.40961,                 1.2613,              0.0003326,              0.0003326,              0.0003326
                     95,                0.72236,                0.44601,                 1.0622,                0.98558,                      1,                  0.995,                0.75879,                 1.0551,                0.39673,                  1.265,             0.00032081,             0.00032081,             0.00032081
                     96,                 0.7312,                0.42722,                 1.0833,                0.98755,                      1,                  0.995,                0.73363,                 1.0945,                0.41918,                 1.2988,             0.00030902,             0.00030902,             0.00030902
                     97,                0.73921,                0.42662,                 1.0604,                0.98782,                      1,                  0.995,                 0.7306,                 1.0393,                0.40782,                  1.261,             0.00029723,             0.00029723,             0.00029723
                     98,                0.71177,                 0.4244,                 1.0652,                 0.9867,                      1,                  0.995,                0.74369,                 1.0482,                0.40061,                 1.2699,             0.00028544,             0.00028544,             0.00028544
                     99,                0.67772,                0.42641,                 1.0736,                0.99034,                      1,                  0.995,                0.73535,                 1.0501,                0.40027,                  1.283,             0.00027365,             0.00027365,             0.00027365
                    100,                0.70031,                0.44776,                 1.0597,                 0.9927,                      1,                  0.995,                0.70886,                 1.0761,                0.39667,                 1.3196,             0.00026186,             0.00026186,             0.00026186
                    101,                0.69849,                0.42425,                 1.0406,                0.99251,                      1,                  0.995,                0.71605,                 1.0587,                0.40139,                 1.2939,             0.00025007,             0.00025007,             0.00025007
                    102,                0.69443,                0.42781,                 1.0502,                0.99044,                      1,                  0.995,                0.74646,                 1.0354,                0.39142,                 1.2522,             0.00023829,             0.00023829,             0.00023829
                    103,                0.67671,                0.40901,                 1.0529,                0.98897,                      1,                  0.995,                0.76737,                   1.01,                0.41293,                 1.2202,              0.0002265,              0.0002265,              0.0002265
                    104,                0.68787,                 0.4085,                 1.0359,                0.98896,                      1,                  0.995,                0.77555,                0.99881,                0.39841,                 1.2056,             0.00021471,             0.00021471,             0.00021471
                    105,                0.65345,                0.42034,                 1.0402,                0.98892,                      1,                  0.995,                0.76401,                 1.0158,                0.39676,                  1.218,             0.00020292,             0.00020292,             0.00020292
                    106,                0.66086,                0.41675,                 1.0382,                0.98948,                      1,                  0.995,                0.76495,                 1.0354,                0.38626,                 1.2433,             0.00019113,             0.00019113,             0.00019113
                    107,                0.62928,                0.40429,                 1.0174,                0.98975,                      1,                  0.995,                0.73888,                 1.0702,                0.40022,                 1.2603,             0.00017934,             0.00017934,             0.00017934
                    108,                0.64961,                0.38312,                 1.0274,                0.98951,                      1,                  0.995,                 0.7427,                 1.0255,                0.40343,                 1.2258,             0.00016755,             0.00016755,             0.00016755
                    109,                0.69168,                0.42036,                 1.0518,                0.99107,                      1,                  0.995,                0.74739,                 1.0063,                0.40725,                 1.2164,             0.00015576,             0.00015576,             0.00015576
                    110,                0.66176,                0.39522,                 1.0419,                0.99073,                      1,                  0.995,                0.75618,                 1.0006,                0.41719,                 1.2205,             0.00014397,             0.00014397,             0.00014397
                    111,                0.57101,                0.34267,                 1.0563,                0.98456,                      1,                  0.995,                0.74733,                 0.9973,                0.41127,                  1.222,             0.00013218,             0.00013218,             0.00013218
                    112,                0.57345,                0.32453,                  1.047,                0.98413,                      1,                  0.995,                0.74664,                 1.0052,                0.38616,                 1.2255,             0.00012039,             0.00012039,             0.00012039
                    113,                0.55142,                0.32916,                 0.9931,                0.98654,                      1,                  0.995,                  0.741,                   1.03,                0.37628,                 1.2453,              0.0001086,              0.0001086,              0.0001086
                    114,                0.55429,                0.32321,                 1.0308,                 0.9886,                      1,                  0.995,                 0.7336,                 1.0564,                0.38545,                 1.2822,             9.6815e-05,             9.6815e-05,             9.6815e-05
                    115,                0.54514,                0.31045,                 1.0167,                0.98812,                      1,                  0.995,                0.76006,                 1.0385,                0.37719,                 1.2622,             8.5026e-05,             8.5026e-05,             8.5026e-05
                    116,                0.56007,                0.30833,                 1.0253,                0.98742,                      1,                  0.995,                0.75913,                 1.0224,                0.37314,                 1.2485,             7.3236e-05,             7.3236e-05,             7.3236e-05
                    117,                 0.5213,                0.30113,                  0.975,                0.98641,                      1,                  0.995,                0.74658,                 1.0256,                0.37174,                 1.2535,             6.1447e-05,             6.1447e-05,             6.1447e-05
                    118,                0.51133,                0.29255,                0.98997,                0.98599,                      1,                  0.995,                0.74232,                 1.0357,                0.37254,                 1.2662,             4.9658e-05,             4.9658e-05,             4.9658e-05
                    119,                 0.5259,                0.30215,                 1.0194,                0.98681,                      1,                  0.995,                0.73968,                 1.0407,                0.37696,                 1.2708,             3.7869e-05,             3.7869e-05,             3.7869e-05
                    120,                0.50777,                0.28991,                 0.9958,                 0.9879,                      1,                  0.995,                0.74083,                 1.0429,                0.37521,                 1.2753,             2.6079e-05,             2.6079e-05,             2.6079e-05
