                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.1693,                   3.02,                 1.9208,                0.51468,                0.64286,                0.38187,                0.17818,                  1.865,                 3.4978,                 1.7201,             0.00015719,             0.00015719,             0.00015719
                      2,                 1.7058,                 1.6544,                 1.6181,                0.96776,                      1,                  0.995,                0.48148,                 1.6658,                 1.3095,                 1.5265,             0.00032542,             0.00032542,             0.00032542
                      3,                 1.5019,                 1.3052,                 1.4725,                0.93711,                      1,                  0.995,                0.65338,                 1.1197,                  1.754,                 1.1889,             0.00049025,             0.00049025,             0.00049025
                      4,                 1.4829,                 1.2368,                 1.4035,                0.83256,                0.88177,                0.89458,                0.44973,                 1.4849,                 8.7324,                 1.4378,             0.00065168,             0.00065168,             0.00065168
                      5,                 1.5182,                 1.2793,                 1.4808,                 0.5099,                0.84788,                0.78989,                0.31945,                 2.0962,                 1.9123,                 1.9317,             0.00080972,             0.00080972,             0.00080972
                      6,                 1.5137,                 1.3317,                 1.5201,                0.45332,                0.57857,                0.52733,                0.25359,                 1.9533,                 1.7106,                 1.9639,             0.00096437,             0.00096437,             0.00096437
                      7,                 1.5394,                 1.3685,                 1.5721,                0.73828,                0.54286,                0.69892,                0.26278,                 2.1335,                 2.6473,                 2.1985,              0.0011156,              0.0011156,              0.0011156
                      8,                 1.4425,                 1.2037,                  1.459,                0.88332,                0.69413,                0.76856,                0.31565,                 2.0752,                   4.09,                 2.3508,              0.0012635,              0.0012635,              0.0012635
                      9,                 1.4782,                 1.1147,                  1.531,                0.49976,                0.92857,                0.85197,                0.39563,                 1.8451,                 7.7017,                 2.0962,              0.0013158,              0.0013158,              0.0013158
                     10,                 1.4099,                 1.0686,                 1.4652,                 0.7609,                0.76327,                0.88704,                0.49503,                 1.4272,                 4.0019,                 1.6652,              0.0013017,              0.0013017,              0.0013017
                     11,                 1.4158,                 1.1206,                 1.4645,                0.60474,                0.91612,                0.89127,                0.42549,                 2.0823,                 2.7115,                 2.1516,              0.0012875,              0.0012875,              0.0012875
                     12,                 1.4219,                  1.054,                 1.4771,                0.85998,                0.78363,                 0.9052,                0.41707,                 1.8062,                 1.9379,                 1.8421,              0.0012734,              0.0012734,              0.0012734
                     13,                 1.4097,                 1.0842,                 1.4525,                0.92174,                0.88656,                0.94451,                0.44103,                 1.8225,                 21.745,                 1.9064,              0.0012592,              0.0012592,              0.0012592
                     14,                 1.3243,                0.98269,                 1.4305,                0.89573,                0.82134,                0.88945,                0.35173,                 2.1582,                 1.5029,                 2.1826,              0.0012451,              0.0012451,              0.0012451
                     15,                 1.3425,                0.97211,                   1.41,                0.87902,                0.70546,                0.72669,                0.36169,                 2.0254,                 1.9295,                 2.0147,              0.0012309,              0.0012309,              0.0012309
                     16,                 1.3672,                 1.0259,                  1.418,                0.88278,                0.70679,                0.68043,                 0.3612,                 1.9661,                 1.6896,                 1.8868,              0.0012168,              0.0012168,              0.0012168
                     17,                 1.3296,                0.94416,                 1.3852,                      1,                0.63267,                0.71763,                0.30429,                 2.0715,                 1.9829,                 1.9149,              0.0012026,              0.0012026,              0.0012026
                     18,                 1.3283,                0.90992,                 1.3882,                0.93465,                0.74456,                0.80482,                0.38346,                 1.8751,                 1.1695,                 1.8697,              0.0011885,              0.0011885,              0.0011885
                     19,                 1.3014,                 0.9347,                 1.3484,                0.97516,                0.78768,                0.87532,                0.43683,                 1.7943,                0.94633,                 1.7645,              0.0011744,              0.0011744,              0.0011744
                     20,                 1.3482,                0.90402,                 1.3896,                0.95993,                    0.9,                0.96643,                0.56354,                 1.6479,                0.98154,                 1.7044,              0.0011602,              0.0011602,              0.0011602
                     21,                 1.3444,                0.95376,                 1.3793,                0.92902,                      1,                0.96773,                0.61624,                 1.3368,                  1.135,                 1.4466,              0.0011461,              0.0011461,              0.0011461
                     22,                 1.2744,                0.88623,                 1.3696,                0.89114,                 0.9897,                0.98136,                0.61376,                 1.4081,                0.94671,                 1.4366,              0.0011319,              0.0011319,              0.0011319
                     23,                 1.2503,                0.83273,                 1.2906,                0.93427,                      1,                  0.995,                 0.6312,                 1.3853,                0.81769,                 1.3598,              0.0011178,              0.0011178,              0.0011178
                     24,                 1.2806,                0.88939,                 1.3202,                0.93572,                0.91589,                0.97846,                0.52973,                 1.4368,                0.85809,                 1.3636,              0.0011036,              0.0011036,              0.0011036
                     25,                 1.3333,                0.85261,                 1.3619,                0.94272,                0.99388,                0.98136,                0.50428,                 1.6189,                0.94517,                  1.558,              0.0010895,              0.0010895,              0.0010895
                     26,                 1.2385,                0.83362,                 1.2834,                0.90393,                0.99482,                0.99045,                0.56803,                 1.5538,                0.81907,                  1.573,              0.0010753,              0.0010753,              0.0010753
                     27,                 1.1882,                0.79254,                  1.316,                0.86824,                0.67742,                0.78886,                0.27867,                 2.3028,                 1.4925,                 2.2393,              0.0010612,              0.0010612,              0.0010612
                     28,                 1.2314,                0.81544,                 1.3322,                0.90137,                      1,                0.96375,                0.59243,                 1.4439,                0.89831,                   1.54,               0.001047,               0.001047,               0.001047
                     29,                   1.19,                0.78561,                 1.2938,                0.98167,                      1,                  0.995,                0.45798,                 1.5541,                0.84956,                 1.7105,              0.0010329,              0.0010329,              0.0010329
                     30,                  1.127,                0.77356,                 1.2758,                0.96406,                0.92889,                0.97833,                0.49089,                 1.5956,                0.82935,                  1.675,              0.0010187,              0.0010187,              0.0010187
                     31,                 1.1632,                0.78147,                 1.3063,                0.97125,                0.99443,                  0.995,                0.59036,                 1.4002,                0.74061,                 1.5039,              0.0010046,              0.0010046,              0.0010046
