                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.8629,                 1.0624,                 1.0548,                0.83249,                0.99446,                0.82917,                0.36543,                 1.7358,                 1.7916,                 1.1048,              0.0013268,              0.0013268,              0.0013268
                     36,                 1.5876,                 0.9722,                   1.08,                0.88609,                      1,                0.92227,                0.46644,                 1.5765,                 2.3514,                 1.0325,               0.001307,               0.001307,               0.001307
                     37,                 1.9656,                0.98415,                 1.1176,                0.88609,                      1,                0.92227,                0.46644,                 1.5765,                 2.3514,                 1.0325,              0.0012872,              0.0012872,              0.0012872
                     38,                 1.7476,                0.88778,                 1.0289,                0.78786,                      1,                0.94955,                0.41514,                 1.8478,                 2.6926,                 1.0562,              0.0012674,              0.0012674,              0.0012674
                     39,                 2.1948,                 1.0419,                 1.1119,                0.59933,                    0.9,                0.77846,                0.25175,                  2.314,                 4.2321,                 1.1689,              0.0012476,              0.0012476,              0.0012476
                     40,                 2.0709,                 1.4032,                 1.1872,                0.42984,                    0.6,                0.51562,                 0.1763,                 2.8432,                 4.6483,                 1.3876,              0.0012278,              0.0012278,              0.0012278
                     41,                 2.0968,                 1.0194,                 1.1914,                0.42984,                    0.6,                0.51562,                 0.1763,                 2.8432,                 4.6483,                 1.3876,               0.001208,               0.001208,               0.001208
                     42,                 2.5978,                 1.2871,                 1.2257,                0.27302,                    0.5,                0.18539,                0.06076,                 2.9363,                 5.0171,                 1.4804,              0.0011882,              0.0011882,              0.0011882
                     43,                 1.9627,                 1.0755,                 1.0741,                0.29849,                    0.7,                0.27255,                0.11192,                 2.2156,                 4.5761,                 1.2178,              0.0011684,              0.0011684,              0.0011684
                     44,                  2.043,                 1.0613,                 1.1516,                 0.3897,                    0.7,                0.50566,                0.27883,                 1.8875,                 3.7342,                 1.1686,              0.0011486,              0.0011486,              0.0011486
                     45,                 1.8884,                 0.9901,                 1.0523,                 0.3897,                    0.7,                0.50566,                0.27883,                 1.8875,                 3.7342,                 1.1686,              0.0011288,              0.0011288,              0.0011288
                     46,                 2.2689,                 1.0919,                 1.1711,                0.46943,                    0.8,                0.65812,                0.27673,                 2.0519,                  3.126,                 1.2352,               0.001109,               0.001109,               0.001109
                     47,                 1.8237,                 1.0479,                 1.1422,                0.91595,                    0.8,                0.96192,                0.43428,                 1.9337,                 1.8414,                 1.1674,              0.0010892,              0.0010892,              0.0010892
                     48,                 1.7572,                0.92834,                 1.0589,                0.80412,                    0.9,                0.95192,                0.49267,                 1.7692,                  1.603,                 1.0972,              0.0010694,              0.0010694,              0.0010694
                     49,                  2.135,                  0.935,                 1.0604,                0.80412,                    0.9,                0.95192,                0.49267,                 1.7692,                  1.603,                 1.0972,              0.0010496,              0.0010496,              0.0010496
                     50,                 1.8188,                 0.9057,                 1.0635,                0.89985,                      1,                0.98591,                0.53183,                 1.7081,                 2.0958,                 1.0807,              0.0010298,              0.0010298,              0.0010298
                     51,                 2.0874,                 1.5613,                 1.1318,                0.88145,                      1,                0.97682,                0.47561,                 1.7089,                 2.4178,                 1.0692,                0.00101,                0.00101,                0.00101
